1       CPU: 2,448436                   RAM: 2267                       D˜SK: 0
343     CPU: 9,023826                   RAM: 2218                       D˜SK: 0,1147659
344     CPU: 7,97205                    RAM: 2219                       D˜SK: 14,52424
345     CPU: 8,268234                   RAM: 2210                       D˜SK: 1,646384
346     CPU: 9,354876                   RAM: 2213                       D˜SK: 0,9514905
347     CPU: 5,256153                   RAM: 2212                       D˜SK: 3,053834
348     CPU: 8,399522                   RAM: 2223                       D˜SK: 0,02184918
349     CPU: 5,259762                   RAM: 2225                       D˜SK: 0,161307
350     CPU: 6,430491                   RAM: 2227                       D˜SK: 0,3773418
351     CPU: 6,027905                   RAM: 2223                       D˜SK: 0,2872169
352     CPU: 5,887442                   RAM: 2220                       D˜SK: 0,4263595
353     CPU: 4,732241                   RAM: 2214                       D˜SK: 1,628558
354     CPU: 4,800427                   RAM: 2219                       D˜SK: 0,1487393
355     CPU: 11,53015                   RAM: 2221                       D˜SK: 0,07765325
356     CPU: 8,440916                   RAM: 2210                       D˜SK: 0,02639798
357     CPU: 20,80493                   RAM: 2207                       D˜SK: 39,65038
358     CPU: 3,147744                   RAM: 2210                       D˜SK: 1,195895
359     CPU: 8,574059                   RAM: 2211                       D˜SK: 14,24528
360     CPU: 5,418354                   RAM: 2210                       D˜SK: 0,02556105
361     CPU: 5,270669                   RAM: 2212                       D˜SK: 1,588581
362     CPU: 9,861702                   RAM: 2216                       D˜SK: 0,8620251
363     CPU: 1,039618                   RAM: 2219                       D˜SK: 0,05911894
364     CPU: 11,61664                   RAM: 2219                       D˜SK: 1,47298
365     CPU: 6,767151                   RAM: 2222                       D˜SK: 0,08214036
366     CPU: 9,449283                   RAM: 2204                       D˜SK: 0,07683407
367     CPU: 8,365159                   RAM: 2206                       D˜SK: 2,686376
368     CPU: 6,057787                   RAM: 2211                       D˜SK: 1,649696
369     CPU: 7,069093                   RAM: 2213                       D˜SK: 0,6877476
370     CPU: 36,18673                   RAM: 2156                       D˜SK: 9,305904
371     CPU: 56,78951                   RAM: 2136                       D˜SK: 35,69385
372     CPU: 24,97933                   RAM: 2412                       D˜SK: 2,766448
373     CPU: 8,615749                   RAM: 2424                       D˜SK: 2,004327
374     CPU: 7,114532                   RAM: 2428                       D˜SK: 10,05054
375     CPU: 3,996604                   RAM: 2429                       D˜SK: 0,02564718
376     CPU: 6,025773                   RAM: 2429                       D˜SK: 1,623985
377     CPU: 7,250462                   RAM: 2419                       D˜SK: 2,254932
378     CPU: 3,542692                   RAM: 2426                       D˜SK: 3,054759
379     CPU: 9,058391                   RAM: 2429                       D˜SK: 11,02122
380     CPU: 5,11066                    RAM: 2430                       D˜SK: 0,08316985
381     CPU: 5,387965                   RAM: 2425                       D˜SK: 1,299315
382     CPU: 9,584494                   RAM: 2421                       D˜SK: 0,05327009
383     CPU: 4,127956                   RAM: 2423                       D˜SK: 0,02509748
384     CPU: 4,798356                   RAM: 2424                       D˜SK: 0,05185403
385     CPU: 3,185667                   RAM: 2427                       D˜SK: 0,0918677
386     CPU: 6,755285                   RAM: 2428                       D˜SK: 0,08151837
387     CPU: 8,430521                   RAM: 2417                       D˜SK: 0,06607009
388     CPU: 7,096922                   RAM: 2422                       D˜SK: 0,08173817
389     CPU: 8,002905                   RAM: 2424                       D˜SK: 11,27098
390     CPU: 5,395125                   RAM: 2426                       D˜SK: 0,1191193
391     CPU: 5,511834                   RAM: 2429                       D˜SK: 1,256924
392     CPU: 7,03165                    RAM: 2419                       D˜SK: 0,1278678
393     CPU: 5,125824                   RAM: 2421                       D˜SK: 0,190098
394     CPU: 10,17461                   RAM: 2422                       D˜SK: 0,1041953
395     CPU: 0,2750467                  RAM: 2425                       D˜SK: 0
396     CPU: 6,071965                   RAM: 2410                       D˜SK: 0,1125628
397     CPU: 9,509202                   RAM: 2411                       D˜SK: 1,484403
398     CPU: 6,285593                   RAM: 2414                       D˜SK: 0,02601844
399     CPU: 5,964406                   RAM: 2414                       D˜SK: 0,193427
400     CPU: 6,48441                    RAM: 2417                       D˜SK: 1,499037
401     CPU: 4,148603                   RAM: 2414                       D˜SK: 0,4183078
402     CPU: 8,859839                   RAM: 2415                       D˜SK: 0,02322354
